set,pokemon,nr,lang,note1,note2,online_price
UNM,Psiana & Deoxys Gx,72,de,,,22.07
CEC,Bisaflor & Serpifeu Gx,1,de,,,15.17
CEC,Amigento Gx,184,de,,,3.66
CEC,Choreogel Gx,95,de,,,1.69
GRI,Kapu-Fala Gx,60,de,,,2.91
GRI,Lusardin Gx,133,de,,,4.85
GRI,Donarion Gx,45,de,,,1.66
GRI,Grandiras Gx,100,de,,,1.89
BKT,Brigaron TURBO,12,de,,,2.59
BKT,Zoroark TURBO,92,de,,,6.92
EVO,Vulnona TURBO,16,de,,,2.59
BKP,Quajutsu TURBO,41,de,,,9.71
FCO,Amoroso TURBO,19,de,,,2.42
FCO,Relaxo,77,de,Reverse,,10.83
TEU,Arktos,32,de,Reverse,,5.58
TEU,Dragoran,119,de,Reverse,,5.93
LOR,Relaxo,143,en,Holo,,0.55
LOR,Strahlendes Stahlos,124,de,,,0.52
LOR,Strahlendes Guardevoir,69,de,,,0.54
SIT,Strahlendes Jirachi,120,de,,,0.61
EVO,Kokowei,109,en,,,2.23
MCD19,Raupy,1,de,Holo,,
MCD22,Victini,5,de,Holo,,
SVP,Team Rockets Mewtu Ex,216,de,,,
SVP,Team Rockets Snobilikat Ex,218,de,,,
MD,Icognito Lv. 15,49,de,Reverse,,4.88
